                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.52846,                0.48303,                0.94968,                0.78325,                0.77143,                 0.8189,                0.60906,                 0.9696,                0.76829,                 1.1646,             0.00026106,             0.00026106,             0.00026106
                     74,                0.50624,                0.47437,                0.94026,                0.85185,                 0.7156,                0.81699,                0.61625,                0.96074,                0.77967,                 1.1741,             0.00025207,             0.00025207,             0.00025207
                     75,                0.46244,                 0.4136,                0.92714,                 0.7684,                0.78292,                0.80103,                0.61511,                0.97979,                0.80598,                 1.1799,             0.00024307,             0.00024307,             0.00024307
                     76,                0.50784,                0.47205,                0.94185,                 0.7486,                  0.743,                0.78085,                 0.5808,                0.97322,                0.79568,                 1.1555,             0.00023407,             0.00023407,             0.00023407
                     77,                0.47407,                0.44303,                0.91608,                 0.7477,                0.70999,                0.77063,                0.56929,                0.97321,                0.81537,                 1.1611,             0.00022507,             0.00022507,             0.00022507
                     78,                0.51548,                0.48421,                 0.9626,                0.76034,                0.74034,                0.78751,                0.58127,                0.98396,                0.82168,                 1.1656,             0.00021607,             0.00021607,             0.00021607
                     79,                0.47025,                0.42598,                0.91466,                0.83091,                0.71955,                0.79795,                0.59043,                0.99095,                 0.8376,                 1.1734,             0.00020707,             0.00020707,             0.00020707
                     80,                0.44687,                0.41772,                0.90647,                0.83596,                0.74728,                0.81629,                0.59809,                0.99161,                0.85094,                   1.17,             0.00019807,             0.00019807,             0.00019807
                     81,                0.47821,                0.44528,                0.93507,                0.85375,                0.68184,                0.81724,                0.60445,                0.97867,                0.85077,                 1.1687,             0.00018907,             0.00018907,             0.00018907
                     82,                0.47257,                0.44616,                0.92937,                0.84409,                0.66078,                0.79137,                0.59476,                0.96474,                0.87104,                 1.1596,             0.00018007,             0.00018007,             0.00018007
                     83,                0.43033,                0.38874,                0.91124,                0.82108,                0.69044,                0.78425,                0.59709,                0.96895,                0.87124,                 1.1707,             0.00017107,             0.00017107,             0.00017107
                     84,                0.43907,                 0.4359,                0.91979,                0.75874,                0.72882,                0.78661,                0.59672,                0.97443,                0.86981,                   1.17,             0.00016207,             0.00016207,             0.00016207
                     85,                0.45264,                 0.4138,                 0.9188,                0.76942,                0.73959,                0.79175,                0.59675,                0.97166,                0.85403,                 1.1684,             0.00015308,             0.00015308,             0.00015308
                     86,                 0.4298,                0.39694,                0.89675,                0.78355,                0.72962,                0.80225,                0.61372,                0.96491,                0.84985,                 1.1685,             0.00014408,             0.00014408,             0.00014408
                     87,                0.44216,                0.40542,                0.90012,                0.84393,                0.67672,                0.81489,                0.62275,                0.94674,                0.83807,                 1.1515,             0.00013508,             0.00013508,             0.00013508
                     88,                0.42485,                0.39659,                0.91239,                0.82022,                0.69087,                 0.8062,                0.61946,                 0.9497,                0.83834,                 1.1527,             0.00012608,             0.00012608,             0.00012608
                     89,                0.44473,                0.43957,                0.92928,                0.84224,                0.66827,                 0.8028,                0.62113,                0.95406,                0.84785,                 1.1522,             0.00011708,             0.00011708,             0.00011708
                     90,                0.42149,                0.38703,                  0.905,                0.73744,                0.76486,                 0.8028,                0.61799,                 0.9556,                0.86492,                 1.1541,             0.00010808,             0.00010808,             0.00010808
                     91,                0.39535,                0.36068,                0.87519,                0.76833,                0.76543,                0.80339,                0.61689,                0.96617,                0.84141,                 1.1625,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.38612,                0.33178,                0.85493,                0.76635,                0.76578,                0.80656,                 0.6122,                0.98022,                0.81505,                 1.1711,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.37651,                0.33271,                0.86918,                0.74804,                0.75877,                0.80673,                0.60608,                0.98863,                0.82317,                 1.1803,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.37703,                0.32465,                0.84994,                0.80645,                0.73089,                 0.8106,                0.61245,                0.99563,                0.82054,                  1.194,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.35733,                0.32909,                0.85223,                0.83614,                 0.7299,                0.80614,                0.62057,                0.97835,                0.81917,                 1.1817,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.35373,                0.31085,                0.85252,                0.81849,                0.75051,                 0.8127,                0.62496,                0.96931,                0.81719,                 1.1715,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.35668,                0.32011,                0.85701,                 0.7988,                0.74672,                0.81233,                0.62471,                0.96356,                0.80947,                  1.172,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.35788,                0.31919,                0.84246,                0.77499,                0.73779,                0.80829,                0.62065,                 0.9658,                0.81618,                 1.1805,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.34358,                 0.3056,                0.84901,                0.77874,                0.74753,                 0.8127,                 0.6233,                0.96162,                0.81285,                 1.1791,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.32584,                0.29576,                0.84802,                0.78252,                 0.7313,                0.81432,                0.62446,                0.96278,                0.82079,                 1.1794,             1.8089e-05,             1.8089e-05,             1.8089e-05
